sku,qty,est_cost,supplier,day_generated
BROADWAYS 200G MANDO BITES 4S,8,640.0,BROADWAYS BAKERY LTD,7
SUPA 1.5KG BUTTER TOAST BREAD,8,640.0,MINI BAKERIES NBI  LTD,7
AJAB 2KG SELF RAISING FLOUR,7,848.3941192918021,GRAIN INDUSTRIES LIMITED,7
KINGSMIL 250G SCONES,8,640.0,KENAFRIC BAKERY LTD,7
FESTIVE 400G SILINDA  BROWN BREAD,8,640.0,DPL FESTIVE  LIMITED,7
SUPA 500G BREAD CRUMBS,8,640.0,MIBISCO LTD,7
KINGSMIL 800G SWICH BROWN BREAD,8,640.0,KENAFRIC BAKERY LTD,7
BROADWAY 400G PREMIUM SANDWICH BREAD,8,640.0,BROADWAYS BAKERY LTD,7
SUPA 600G BARREL BROWN BREAD,7,560.0,MINI BAKERIES NBI  LTD,7
SUPA 500G LARGE SCONES,7,560.0,MIBISCO LTD,7
BROADWAY 400G 50/50 BREAD,6,480.0,BROADWAYS BAKERY LTD,7
SUPA 350G MEDIUM SCONES,7,560.0,MIBISCO LTD,7
JOGOO 2KG WIMBI MEAL,4,484.79663959531547,UNGA LTD,7
AVENA 5L VEGETABLE OIL,4,3697.967290873309,GOLDEN AFRICA K LTD,7
RHARVEST 400G WHITE BREAD CLASSIC,6,480.0,RABAI FOODS LIMITED,7
SUPA 400G SUPA SWEET BREAD,5,400.0,MIBISCO LTD,7
NATURES 800G BROWN BREAD,6,480.0,DPL FESTIVE  LIMITED,7
SUPA 1.5KG WHITE SLICED BREAD,6,480.0,MINI BAKERIES NBI  LTD,7
FESTIVE 300G 6S PREM BROWN BURGER BUNS,6,480.0,DPL FESTIVE  LIMITED,7
EXE 2KG ATTA MARK 1,4,484.79663959531547,UNGA LTD,7
SUPA 220G SMALL SCONES,4,320.0,MIBISCO LTD,7
SUPA LOAF 400G SUPA NUTRI BREAD,5,400.0,MINI BAKERIES NBI  LTD,7
BROOKSIDE 1L FUNCTIONAL UHT MILK VIT A & D,3,133.1995625227853,BROOKSIDE DAIRY LIMITED,7
SIMPLIFINE 600G WHOLEMEAL LOAF,3,240.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,7
FESTIVE 1.5KG BROWN BREAD,3,240.0,DPL FESTIVE  LIMITED,7
HUSEINI 400G BREAD CRUMBS,3,240.0,HUSEINI BAKERY LTD,7
SIMPLIFINE 800G WHITE FAMILY LOAF,4,320.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,7
SIMPLIFINE 800G WHOLEMEAL LOAF,3,240.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,7
RHARVEST 400G WHOLE GRAIN BREAD BROWN LONG,4,320.0,RABAI FOODS LIMITED,7
KINGSMIL 300G CLUSTER BUNS,3,240.0,KENAFRIC BAKERY LTD,7
SUPA 250G BREADCRUMBS,3,240.0,MIBISCO LTD,7
TOTAL,48293,4180064.0278042913,Total,7
V22 BAG 10 X 15 X 22 30G,578,4625.120457614999,POLYTHENE INDUSTRIES LIMITED,7
V25 CARRIER BAG,521,8336.947441611697,POLYTHENE INDUSTRIES LIMITED,7
WHITE CAP 500ML LAGER CANS,374,68332.85014706258,KENYA BREWERIES LTD,7
QUENCHER 300ML DRINKING WATER,360,5551.975458486162,EXCEL CHEMICALS LTD,7
AQUAMIST 300ML MINERAL WATER,328,8049.374781112027,AQUAMIST LIMITED,7
QUENCHER 500ML DRINKING WATER,305,6453.461284887555,EXCEL CHEMICALS LTD,7
QUENCHER 1LT DRINKING WATER,274,10561.837674525064,EXCEL CHEMICALS LTD,7
KERINGET 500ML MINERAL WATER,253,11363.928638153679,COCA COLA BEVERAGES KENYA LTD,7
COKE PET 350ML,240,9332.019209456965,COCA COLA BEVERAGES KENYA LTD,7
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,222,30701.29714466336,BIO FOOD PRODUCTS LTD,7
AQUAMIST 500ML MINERAL WATER,216,8527.199496327388,AQUAMIST LIMITED,7
DUNHILL 20S SWITCH,205,77080.0,NOBLE OUTLOOK LIMITED,7
TUSKER CAN 500ML BEER,204,34712.26084489885,KENYA BREWERIES LTD,7
EMBASSY BY DUNHILL BLUE 20S,200,73600.20246175084,NOBLE OUTLOOK LIMITED,7
KERINGET 18.9LT MINERAL WATER REFIL,193,92429.453691765,COCA COLA BEVERAGES KENYA LTD,7
COKE PET 500ML,188,9999.77687357938,COCA COLA BEVERAGES KENYA LTD,7
COKE ZERO 330ML CAN,175,13520.073948704598,COCA COLA BEVERAGES KENYA LTD,7
COKE ZERO 500ML PET,171,8915.995957651588,COCA COLA BEVERAGES KENYA LTD,7
AQUAMIST 1LTR SPARKLING WATER,166,12620.305982001062,AQUAMIST LIMITED,7
SCHWEPPES TONIC WATER 500ML PET,157,9531.15652906487,COCA COLA BEVERAGES KENYA LTD,7
AQUAMIST 20LT MINERAL WATER,146,61608.73460387462,AQUAMIST LIMITED,7
BROOKSIDE 500ML NATURAL LALA BOTTLE,138,9936.295088539928,BROOKSIDE DAIRY LIMITED,7
COKE 330ML CAN,137,10692.002368265248,COCA COLA BEVERAGES KENYA LTD,7
DL 37G FILLED CHOCOLATES MINT CHOC,137,7637.0769674627345,GLACIER PRODUCTS LTD 2ND,7
MAYERS 1L SPARKLING WATER PLASTIC,132,10162.252201039862,MALACHITE LIMITED,7
SAFARI 300ML LEMONADE LIME DRINK,130,5051.577708549672,BOUNTY LIMITED,7
NUTFIELDS 20G CASHEW NUTS ROASTED AND SALTED,130,7280.0,KENYA NUT COMPANY,7
MAGGI 4G 28S CUBE FORTIFIED,129,10948.961681598897,NESTLE KENYA LTD,7
TUSKER 500ML LAGER BEER,128,21401.600000000002,KENYA BREWERIES LTD,7
COCA COLA 300ML,128,4096.0,COCA COLA BEVERAGES KENYA LTD,7
COCA COLA 300ML EMPTY BOTTLE,128,1536.0,COCA COLA BEVERAGES KENYA LTD,7
NUTFIELD 20G MAC NUTS LOCAL,128,6553.6,KENYA NUT COMPANY,7
AQUAMIST 500ML SPARKLING WATER,127,6999.954846989824,AQUAMIST LIMITED,7
NUTFIELDS 20G MIXED NUTS,124,5456.0,KENYA NUT COMPANY,7
WHITE CAP 500ML LAGER BEER,124,23708.800000000003,KENYA BREWERIES LTD,7
ISINYA 6S EGGS,123,12319.493085249384,ISINYA FEEDS LIMITED,7
BIO 150ML VANILLA YOGHURT,121,11254.534855004678,BIO FOOD PRODUCTS LTD,7
SPRITE PET 350ML,117,4551.800902867716,COCA COLA BEVERAGES KENYA LTD,7
SCHWEPPES SODA WATER 500ML PET,117,7082.751178332748,COCA COLA BEVERAGES KENYA LTD,7
KRACKLES BANG BANG CHILLI 30G,114,5025.05090909091,PROPACK KENYA LTD,7
GUINNESS 500ML CAN,113,20673.694271208507,KENYA BREWERIES LTD,7
KRACKLES POTATO CRISP BBQ30G,113,4933.254643962849,PROPACK KENYA LTD,7
NESTLE 41.5G KITKAT 4 FINGER MILK,113,15103.677597840759,GLACIER PRODUCTS LTD 2ND,7
BALOZI 500ML CAN,108,17758.32507301331,KENYA BREWERIES LTD,7
HIGHLANDS 500ML MINERAL WATER,106,2120.036016139308,HIGHLANDS DRINKS LIMITED,7
TUSKER LITE 500ML CAN,105,21719.990258481423,KENYA BREWERIES LTD,7
ILARA 500ML MAZIWA LALA,104,7488.0,BROOKSIDE DAIRY LIMITED,7
ISINYA 30S EGGS,100,43302.63858093126,ISINYA FEEDS LIMITED,7
KRACKLES CHEESE & ONION 30G,100,4432.716472469729,PROPACK KENYA LTD,7
OLA 40G CHEESE CRUNCH TORTILA CHIPS,99,5102.126213592233,PROPACK KENYA LTD,7
URBAN STIX 35G BARBEQUE SNACKS,99,2772.0,NORDA INDUSTRIES LTD.,7
GOLD CROWN 500ML ASEPTIC LONG LIFE 24,99,3863.7446375582876,NEW KENYA COOP CREAMERIES  LTD,7
SPRITE PET 500ML,98,5181.699244455277,COCA COLA BEVERAGES KENYA LTD,7
COKE PET 2LTS,95,12511.122184954482,COCA COLA BEVERAGES KENYA LTD,7
MAYERS 500ML SPARKLING WATER PLASTIC,93,5530.417563739377,MALACHITE LIMITED,7
WRIGLEYS ORBIT 10S PEPPERMINT SF,92,5048.390927835052,RADBONE CLARK LIMITED MARS,7
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,91,1941.8225057412608,RADBONE CLARK LIMITED MARS,7
KABARNET 300ML MINERAL WATER,89,1355.3810460901088,KHETIA DRAPERS LTD,7
FANTA ORANGE PET 350ML,88,3427.2745965834433,COCA COLA BEVERAGES KENYA LTD,7
SPRITE 330ML CAN REGULAR,87,6718.405961199293,COCA COLA BEVERAGES KENYA LTD,7
WRIGLEYS JUICY FRUIT 10S CLASSIC,87,1855.9819735819738,RADBONE CLARK LIMITED MARS,7
KERINGET 1LT MINERAL WATER,86,5976.437138508372,COCA COLA BEVERAGES KENYA LTD,7
DASANI 500ML MINERAL WATER,85,2284.005017561465,COCA COLA BEVERAGES KENYA LTD,7
AQUAMIST 1LT MINERAL WATER,85,5203.179079022172,AQUAMIST LIMITED,7
ISINYA 15S EGGS,85,21094.382093899072,ISINYA FEEDS LIMITED,7
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,85,4383.646694214877,PROPACK KENYA LTD,7
PICK N PEEL 250ML MANGO,85,4811.862342892008,KEVIAN KENYA LTD,7
TENA 10S WHITE TOILET ROLLS,85,30646.16565433462,AFRICAN COTTON INDUSTRIES LTD,7
WRIGLEYS ORBIT 10S BUBBLEMINT SF,81,4453.570723404255,RADBONE CLARK LIMITED MARS,7
DUNHILL 20S DOUBLE CAP,80,30080.0,NOBLE OUTLOOK LIMITED,7
BIO 150ML STRAWBERRY YOGHURT,80,7566.182979959338,BIO FOOD PRODUCTS LTD,7
FANTA ORANGE PET 500ML,80,4227.978329056174,COCA COLA BEVERAGES KENYA LTD,7
PICK N PEEL 250ML TROPICAL MIX,79,4474.593617021276,KEVIAN KENYA LTD,7
MAYERS 1LT SPRING MINERAL WATER,79,4451.088912504429,MALACHITE LIMITED,7
PREDATOR 400ML ENERGY DRINK PET,78,3929.0455331010457,COCA COLA BEVERAGES KENYA LTD,7
VELVEX 100S WHITE SERVIETTES,78,7250.592728223908,CHANDARIA INDUSTRIES  LTD,7
KNORR 51G 6S CHICKEN CUBES,78,5880.828024727702,UNILEVER KENYA LIMITED,7
MENENGAI CREAM 1KG SOAP,75,12299.92171372931,MENENGAI O REFINERIES LTD,7
BIO 150ML NATURAL YOGHURT,75,6923.357142857143,BIO FOOD PRODUCTS LTD,7
KRACKLES SALT&VINEGAR 30GM,75,3250.983170947741,PROPACK KENYA LTD,7
WRIGLEYS P.K 10S CHEWING GUM MENTHOL,74,1576.7897172236505,RADBONE CLARK LIMITED MARS,7
COKE 1.25L PET,72,7362.0552760535775,COCA COLA BEVERAGES KENYA LTD,7
PICK N PEEL 250ML APPLE,71,4042.2273858921167,KEVIAN KENYA LTD,7
PICK N PEEL 250ML PINEAPPLE JUICE,70,3954.059628200632,KEVIAN KENYA LTD,7
AQUAMIST 1.5LT MINERAL WATER,70,5166.126888217523,AQUAMIST LIMITED,7
