sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
NESTLE 41.5G KITKAT 4 FINGER MILK,6,801.9651821862349,GLACIER PRODUCTS LTD 2ND,2,6,9
BALOZI 500ML CAN,5,822.1446793061718,KENYA BREWERIES LTD,2,6,9
HIGHLANDS 500ML MINERAL WATER,7,140.0023784242939,HIGHLANDS DRINKS LIMITED,2,6,9
TUSKER LITE 500ML CAN,5,1034.2852504038772,KENYA BREWERIES LTD,2,6,9
ISINYA 30S EGGS,6,2598.1583148558757,ISINYA FEEDS LIMITED,2,6,9
OLA 40G CHEESE CRUNCH TORTILA CHIPS,4,206.14651368049428,PROPACK KENYA LTD,2,6,9
URBAN STIX 35G BARBEQUE SNACKS,4,112.0,NORDA INDUSTRIES LTD.,2,6,9
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,4,85.35483541719827,RADBONE CLARK LIMITED MARS,2,6,9
FANTA ORANGE PET 500ML,4,211.3989164528087,COCA COLA BEVERAGES KENYA LTD,2,6,9
COKE ZERO 2L PET,3,397.38981233243965,COCA COLA BEVERAGES KENYA LTD,2,6,9
AQUACLEAR 500ML MINERAL WATER,4,100.09270801815433,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,6,9
SPRITE SODA PET 2LTS,2,246.46550615496017,COCA COLA BEVERAGES KENYA LTD,2,6,9
OREO 55.2G ORIGINAL COOKIES,3,164.913670613563,HASBAH KENYA LTD CADBURY,2,6,9
TUZO 450ML ESL WHOLE MILK 90DAYS,15,551.2795301283445,BROOKSIDE DAIRY LIMITED,2,7,10
ILARA  POUCH FRESH MILK 1LTR,8,749.0693836646068,BROOKSIDE DAIRY LIMITED,2,7,10
NATURES 800G WHITE BREAD,5,520.0081411126188,DPL FESTIVE  LIMITED,2,7,10
BIO 2L SEMI SKIMMED FRESH MILK,4,977.9577561232553,BIO FOOD PRODUCTS LTD,2,7,10
BROOKSIDE 1L LACTOSE FREE UHT MILK,6,836.2516924691683,BROOKSIDE DAIRY LIMITED,2,7,10
FESTIVE 400G FINEST SUPER SEEDED BREAD,4,416.00086021505376,DPL FESTIVE  LIMITED,2,7,10
FRESHA 5L WHOLE MILK,5,1997.8990228013029,GITHUNGURI DAIRY FARMERS,2,7,10
FESTIVE 300G 6S DELUXE ROLLS,5,480.0,DPL FESTIVE  LIMITED,2,7,10
WHITE CAP 500ML LAGER BEER,7,1338.4,KENYA BREWERIES LTD,2,7,10
SPRITE PET 350ML,5,194.52140610545794,COCA COLA BEVERAGES KENYA LTD,2,7,10
BALOZI 500ML CAN,6,986.5736151674063,KENYA BREWERIES LTD,2,7,10
TUSKER LITE 500ML CAN,6,1241.1423004846527,KENYA BREWERIES LTD,2,7,10
ISINYA 30S EGGS,6,2598.1583148558757,ISINYA FEEDS LIMITED,2,7,10
KRACKLES CHEESE & ONION 30G,4,177.30865889878913,PROPACK KENYA LTD,2,7,10
OLA 40G CHEESE CRUNCH TORTILA CHIPS,4,206.14651368049428,PROPACK KENYA LTD,2,7,10
URBAN STIX 35G BARBEQUE SNACKS,4,112.0,NORDA INDUSTRIES LTD.,2,7,10
SPRITE PET 500ML,4,211.49792834511334,COCA COLA BEVERAGES KENYA LTD,2,7,10
COKE PET 2LTS,5,658.4801149976043,COCA COLA BEVERAGES KENYA LTD,2,7,10
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,5,106.69354427149784,RADBONE CLARK LIMITED MARS,2,7,10
WRIGLEYS JUICY FRUIT 10S CLASSIC,4,85.33250453250454,RADBONE CLARK LIMITED MARS,2,7,10
KERINGET 1LT MINERAL WATER,4,277.97382039573824,COCA COLA BEVERAGES KENYA LTD,2,7,10
ISINYA 15S EGGS,4,992.6768044187799,ISINYA FEEDS LIMITED,2,7,10
