sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
BALOZI 500ML CAN,6,986.5736151674063,KENYA BREWERIES LTD,2,3,6
KRACKLES CHEESE & ONION 30G,5,221.63582362348643,PROPACK KENYA LTD,2,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,23,940.6892641041894,BROOKSIDE DAIRY LIMITED,2,4,7
JOGOO 2KG MAIZE MEAL,12,1392.0625318606628,UNGA LTD,2,4,7
ILARA  POUCH FRESH MILK 1LTR,10,936.3367295807585,BROOKSIDE DAIRY LIMITED,2,4,7
PEMBE 2KG MAIZE MEAL,7,823.2276068120707,PEMBE FLOUR MILLS,2,4,7
KCC 500ML GOLD CROWN  (POUCH)-55,10,459.6651348651349,NEW KENYA COOP CREAMERIES  LTD,2,4,7
NATURES 800G WHITE BREAD,8,832.0130257801901,DPL FESTIVE  LIMITED,2,4,7
FESTIVE 400G WHOLE MEAL,9,468.0031386224935,DPL FESTIVE  LIMITED,2,4,7
FESTIVE 600G FAMILY BRWN BREAD,8,640.0015841584159,DPL FESTIVE  LIMITED,2,4,7
BIO 2L SEMI SKIMMED FRESH MILK,6,1466.936634184883,BIO FOOD PRODUCTS LTD,2,4,7
FESTIVE 800G SUPREME WHOLE MEAL,6,624.0,DPL FESTIVE  LIMITED,2,4,7
FRESHA 5L WHOLE MILK,6,2397.4788273615636,GITHUNGURI DAIRY FARMERS,2,4,7
BROOKSIDE 200ML  WHOLE MILK TCA,5,128.0023988005997,BROOKSIDE DAIRY LIMITED,2,4,7
KERINGET 500ML MINERAL WATER,17,763.5841377415516,COCA COLA BEVERAGES KENYA LTD,2,4,7
QUENCHER 1LT DRINKING WATER,16,616.749645227741,EXCEL CHEMICALS LTD,2,4,7
DUNHILL 20S SWITCH,13,4888.0,NOBLE OUTLOOK LIMITED,2,4,7
EMBASSY BY DUNHILL BLUE 20S,12,4416.012147705051,NOBLE OUTLOOK LIMITED,2,4,7
AQUAMIST 20LT MINERAL WATER,13,5485.70924555048,AQUAMIST LIMITED,2,4,7
TUSKER 500ML LAGER BEER,10,1672.0000000000002,KENYA BREWERIES LTD,2,4,7
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,2,4,7
