sku,qty,est_cost,supplier,day_generated,arrival_day
EXE 2KG ALL PURPOSE FLOUR,22,2818.0201285219973,UNGA LTD,3,6
FRESHA MAISHA 250ML LONG LIFE MILK,17,408.00623781676416,GITHUNGURI DAIRY FARMERS,3,6
FRESHA MAISHA 500ML LONG LIFE MILK,20,887.2609812798238,GITHUNGURI DAIRY FARMERS,3,6
BIO 1L FRESH WHOLE MILK,22,3007.5230788836498,BIO FOOD PRODUCTS LTD,3,6
JOGOO 2KG MAIZE MEAL,13,1508.0677428490515,UNGA LTD,3,6
LATO 500ML FINO UHT MILK 180DAYS,20,803.4136253041363,MUSTY DISTRIBUTION LIMITED,3,6
ILARA  POUCH FRESH MILK 1LTR,13,1217.237748454986,BROOKSIDE DAIRY LIMITED,3,6
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,10,2055.560454241817,BROOKSIDE DAIRY LIMITED,3,6
PEMBE 2KG MAIZE MEAL,11,1293.643382133254,PEMBE FLOUR MILLS,3,6
BROOKSIDE 1LTR FRESH MILK STANDARD,9,935.8861531511182,BROOKSIDE DAIRY LIMITED,3,6
NATURES 800G WHITE BREAD,7,728.0113975576663,DPL FESTIVE  LIMITED,3,6
BROOKSIDE 1L LACTOSE FREE UHT MILK,6,836.2516924691683,BROOKSIDE DAIRY LIMITED,3,6
WHITE CAP 500ML LAGER CANS,40,7308.3262189371735,KENYA BREWERIES LTD,3,6
QUENCHER 300ML DRINKING WATER,38,586.0418539513171,EXCEL CHEMICALS LTD,3,6
AQUAMIST 300ML MINERAL WATER,32,785.3048566938563,AQUAMIST LIMITED,3,6
QUENCHER 500ML DRINKING WATER,26,550.1311259248407,EXCEL CHEMICALS LTD,3,6
QUENCHER 1LT DRINKING WATER,28,1079.3118791485467,EXCEL CHEMICALS LTD,3,6
KERINGET 500ML MINERAL WATER,23,1033.0844216503344,COCA COLA BEVERAGES KENYA LTD,3,6
COKE PET 350ML,26,1010.9687476911711,COCA COLA BEVERAGES KENYA LTD,3,6
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,17,2351.0002317985454,BIO FOOD PRODUCTS LTD,3,6
AQUAMIST 500ML MINERAL WATER,18,710.5999580272824,AQUAMIST LIMITED,3,6
DUNHILL 20S SWITCH,22,8272.0,NOBLE OUTLOOK LIMITED,3,6
TUSKER CAN 500ML BEER,21,3573.3209693278222,KENYA BREWERIES LTD,3,6
EMBASSY BY DUNHILL BLUE 20S,19,6992.019233866329,NOBLE OUTLOOK LIMITED,3,6
KERINGET 18.9LT MINERAL WATER REFIL,20,9578.18172971658,COCA COLA BEVERAGES KENYA LTD,3,6
COKE PET 500ML,19,1010.6157478617458,COCA COLA BEVERAGES KENYA LTD,3,6
COKE ZERO 330ML CAN,15,1158.863481317537,COCA COLA BEVERAGES KENYA LTD,3,6
COKE ZERO 500ML PET,19,990.6662175168431,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 1LTR SPARKLING WATER,16,1216.4150344097409,AQUAMIST LIMITED,3,6
SCHWEPPES TONIC WATER 500ML PET,18,1092.7440606571188,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 20LT MINERAL WATER,11,4641.753977004252,AQUAMIST LIMITED,3,6
BROOKSIDE 500ML NATURAL LALA BOTTLE,12,864.0256598730372,BROOKSIDE DAIRY LIMITED,3,6
COKE 330ML CAN,12,936.5257548845473,COCA COLA BEVERAGES KENYA LTD,3,6
DL 37G FILLED CHOCOLATES MINT CHOC,13,724.6861355986537,GLACIER PRODUCTS LTD 2ND,3,6
MAYERS 1L SPARKLING WATER PLASTIC,11,846.8543500866551,MALACHITE LIMITED,3,6
TUSKER 500ML LAGER BEER,10,1672.0000000000002,KENYA BREWERIES LTD,3,6
COCA COLA 300ML,14,448.0,COCA COLA BEVERAGES KENYA LTD,3,6
COCA COLA 300ML EMPTY BOTTLE,11,132.0,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 500ML SPARKLING WATER,15,826.7663205106091,AQUAMIST LIMITED,3,6
WHITE CAP 500ML LAGER BEER,12,2294.4,KENYA BREWERIES LTD,3,6
ISINYA 6S EGGS,12,1201.901764414574,ISINYA FEEDS LIMITED,3,6
