sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
SOKO 2KG NUTRIGO WHOLE GRAIN MAIZE MEAL,7,848.3941192918021,CAPWELL INDUSTRIES LTD,2,1,4
QUENCHER 500ML DRINKING WATER,1117,23634.479525309504,EXCEL CHEMICALS LTD,2,1,4
WHITE CAP 500ML LAGER CANS,776,141781.52864738117,KENYA BREWERIES LTD,2,1,4
QUENCHER 300ML DRINKING WATER,763,11767.103541180393,EXCEL CHEMICALS LTD,2,1,4
KERINGET 500ML MINERAL WATER,670,30094.19836981409,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 300ML MINERAL WATER,589,14454.517518521294,AQUAMIST LIMITED,2,1,4
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,591,81731.83158782002,BIO FOOD PRODUCTS LTD,2,1,4
DUNHILL 20S SWITCH,553,207928.0,NOBLE OUTLOOK LIMITED,2,1,4
COKE PET 350ML,533,20724.859327669008,COCA COLA BEVERAGES KENYA LTD,2,1,4
NUTFIELD 20G MAC NUTS LOCAL,519,26572.800000000003,KENYA NUT COMPANY,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL,516,247117.08862668776,COCA COLA BEVERAGES KENYA LTD,2,1,4
NUTFIELDS 20G MIXED NUTS,498,21912.0,KENYA NUT COMPANY,2,1,4
NUTFIELDS 20G CASHEW NUTS ROASTED AND SALTED,498,27888.0,KENYA NUT COMPANY,2,1,4
QUENCHER 1LT DRINKING WATER,488,18810.8641794461,EXCEL CHEMICALS LTD,2,1,4
COKE PET 500ML,484,25744.106419215,COCA COLA BEVERAGES KENYA LTD,2,1,4
EMBASSY BY DUNHILL BLUE 20S,433,159344.43832969057,NOBLE OUTLOOK LIMITED,2,1,4
TUSKER 500ML LAGER BEER,448,74905.6,KENYA BREWERIES LTD,2,1,4
TUSKER CAN 500ML BEER,429,72997.84265912551,KENYA BREWERIES LTD,2,1,4
COKE ZERO 330ML CAN,411,31752.859388100514,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 20LT MINERAL WATER,397,167525.1208064262,AQUAMIST LIMITED,2,1,4
NESTLE 41.5G KITKAT 4 FINGER MILK,376,50256.48475033739,GLACIER PRODUCTS LTD 2ND,2,1,4
AQUAMIST 500ML MINERAL WATER,362,14290.95471143757,AQUAMIST LIMITED,2,1,4
WHITE CAP 500ML LAGER BEER,345,65964.0,KENYA BREWERIES LTD,2,1,4
COKE 330ML CAN,342,26690.984014209596,COCA COLA BEVERAGES KENYA LTD,2,1,4
