sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
AQUAMIST 1LTR SPARKLING WATER,14,1064.3631551085232,AQUAMIST LIMITED,2,2,5
SPRITE PET 500ML,12,634.49378503534,COCA COLA BEVERAGES KENYA LTD,2,2,5
ILARA 500ML MAZIWA LALA,17,1224.0,BROOKSIDE DAIRY LIMITED,2,2,5
PICK N PEEL 250ML TROPICAL MIX,10,566.4042553191489,KEVIAN KENYA LTD,2,2,5
KERINGET 1LT SPARKLING MINERAL WATER,12,1011.1334508283401,COCA COLA BEVERAGES KENYA LTD,2,2,5
SPRITE PET 350ML,12,466.851374653099,COCA COLA BEVERAGES KENYA LTD,2,2,5
TUSKER LITE 500ML CAN,12,2482.2846009693053,KENYA BREWERIES LTD,2,2,5
BALOZI 500ML CAN,12,1973.1472303348125,KENYA BREWERIES LTD,2,2,5
FANTA ORANGE PET 350ML,10,389.46302233902765,COCA COLA BEVERAGES KENYA LTD,2,2,5
ISINYA 6S EGGS,12,1201.901764414574,ISINYA FEEDS LIMITED,2,2,5
GUINNESS 500ML CAN,10,1829.530466478629,KENYA BREWERIES LTD,2,2,5
PICK N PEEL 250ML ORANGE JUICE,9,681.4780070457978,KEVIAN KENYA LTD,2,2,5
VELVEX 100S WHITE SERVIETTES,12,1115.4758043421398,CHANDARIA INDUSTRIES  LTD,2,2,5
COKE ZERO SUGAR 300ML,10,320.0,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE ZERO SUGAR 300ML EMPTY BOTTLE,9,108.0,COCA COLA BEVERAGES KENYA LTD,2,2,5
ISINYA 30S EGGS,10,4330.263858093126,ISINYA FEEDS LIMITED,2,2,5
SCHWEPPES TONIC WATER 500ML PET,9,546.3720303285594,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE 1.25L PET,10,1022.5076772296636,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE PET 2LTS,11,1448.6562529947296,COCA COLA BEVERAGES KENYA LTD,2,2,5
KERINGET 1LT MINERAL WATER,10,694.9345509893456,COCA COLA BEVERAGES KENYA LTD,2,2,5
PREDATOR 400ML ENERGY DRINK PET,10,503.7237862950059,COCA COLA BEVERAGES KENYA LTD,2,2,5
PILSNER 500ML LAGER BEER,10,1672.0000000000002,KENYA BREWERIES LTD,2,2,5
BIO 150ML NATURAL YOGHURT,13,1200.0485714285714,BIO FOOD PRODUCTS LTD,2,2,5
DASANI 1L MINERAL WATER,9,415.77171590194854,COCA COLA BEVERAGES KENYA LTD,2,2,5
BALOZI 500ML BEER,9,1496.4620547945203,KENYA BREWERIES LTD,2,2,5
FANTA ORANGE PET 500ML,10,528.4972911320217,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 20LT MINERAL WATER EMPTY BOTTLE,7,5348.280699562774,AQUAMIST LIMITED,2,2,5
PICK N PEEL 250ML PINEAPPLE JUICE,8,451.89252893721505,KEVIAN KENYA LTD,2,2,5
BIO 150ML STRAWBERRY YOGHURT,12,1134.9274469939005,BIO FOOD PRODUCTS LTD,2,2,5
FANTA BLACKCURRANT PET 500ML,7,370.57084025240783,COCA COLA BEVERAGES KENYA LTD,2,2,5
DUNHILL 20S DOUBLE CAP,7,2632.0,NOBLE OUTLOOK LIMITED,2,2,5
