sku,qty,est_cost,supplier,day_generated,arrival_day
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,30,1226.9859966576385,BROOKSIDE DAIRY LIMITED,6,9
FESTIVE 400G WHOLE MEAL,9,468.0031386224935,DPL FESTIVE  LIMITED,6,9
BIO 2L SEMI SKIMMED FRESH MILK,4,977.9577561232553,BIO FOOD PRODUCTS LTD,6,9
FESTIVE 400G FINEST SUPER SEEDED BREAD,4,416.00086021505376,DPL FESTIVE  LIMITED,6,9
FRESHA 5L WHOLE MILK,4,1598.3192182410423,GITHUNGURI DAIRY FARMERS,6,9
SUPA 400G BUTTER TOAST BREAD,5,260.0089963452347,MINI BAKERIES NBI  LTD,6,9
FESTIVE 300G 6S DELUXE ROLLS,4,384.0,DPL FESTIVE  LIMITED,6,9
MOLO UHT MILK 500ML ESL 90DAYS,4,150.0540857456944,BROOKSIDE DAIRY LIMITED,6,9
AMAIZE 2KG PREMIUM MAIZE FLOUR,4,586.1184185149469,CAPWELL INDUSTRIES LTD,6,9
SOKO 1KG MAIZE MEAL FLOUR,2,126.80250120250122,CAPWELL INDUSTRIES LTD,6,9
MAYERS 1L SPARKLING WATER PLASTIC,8,615.8940727902947,MALACHITE LIMITED,6,9
TUSKER 500ML LAGER BEER,11,1839.2000000000003,KENYA BREWERIES LTD,6,9
WHITE CAP 500ML LAGER BEER,8,1529.6000000000001,KENYA BREWERIES LTD,6,9
BALOZI 500ML CAN,6,986.5736151674063,KENYA BREWERIES LTD,6,9
TUSKER LITE 500ML CAN,7,1447.9993505654281,KENYA BREWERIES LTD,6,9
ISINYA 30S EGGS,6,2598.1583148558757,ISINYA FEEDS LIMITED,6,9
URBAN STIX 35G BARBEQUE SNACKS,7,196.0,NORDA INDUSTRIES LTD.,6,9
SPRITE PET 500ML,5,264.3724104313917,COCA COLA BEVERAGES KENYA LTD,6,9
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,8,170.70967083439655,RADBONE CLARK LIMITED MARS,6,9
KABARNET 300ML MINERAL WATER,8,121.83200414293113,KHETIA DRAPERS LTD,6,9
FANTA ORANGE PET 350ML,4,155.78520893561105,COCA COLA BEVERAGES KENYA LTD,6,9
SPRITE 330ML CAN REGULAR,4,308.8922281011169,COCA COLA BEVERAGES KENYA LTD,6,9
WRIGLEYS JUICY FRUIT 10S CLASSIC,6,127.99875679875682,RADBONE CLARK LIMITED MARS,6,9
AQUAMIST 1LT MINERAL WATER,4,244.85548607163162,AQUAMIST LIMITED,6,9
ISINYA 15S EGGS,6,1489.0152066281698,ISINYA FEEDS LIMITED,6,9
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,5,257.8615702479339,PROPACK KENYA LTD,6,9
PICK N PEEL 250ML MANGO,4,226.44058084197684,KEVIAN KENYA LTD,6,9
TENA 10S WHITE TOILET ROLLS,7,2523.801877415792,AFRICAN COTTON INDUSTRIES LTD,6,9
WRIGLEYS ORBIT 10S BUBBLEMINT SF,4,219.9294184397163,RADBONE CLARK LIMITED MARS,6,9
DUNHILL 20S DOUBLE CAP,6,2256.0,NOBLE OUTLOOK LIMITED,6,9
BIO 150ML STRAWBERRY YOGHURT,4,378.3091489979669,BIO FOOD PRODUCTS LTD,6,9
VELVEX 100S WHITE SERVIETTES,6,557.7379021710699,CHANDARIA INDUSTRIES  LTD,6,9
KNORR 51G 6S CHICKEN CUBES,4,301.5809243450103,UNILEVER KENYA LIMITED,6,9
FANTA ORANGE PET 2LTS,4,491.1442685243826,COCA COLA BEVERAGES KENYA LTD,6,9
COKE ZERO 2L PET,5,662.3163538873995,COCA COLA BEVERAGES KENYA LTD,6,9
AQUACLEAR 500ML MINERAL WATER,6,150.1390620272315,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
ILARA 500ML TNC PLAIN CUP,4,375.8444137931035,BROOKSIDE DAIRY LIMITED,6,9
SMIRNOFF 330ML PINEAPPLE PUNCH ICE CAN,4,646.6818338870432,UDV KENYA LIMITED,6,9
CARTOONS 30G TANGY TOMATO CRISPS,3,135.10461095100865,PROPACK KENYA LTD,6,9
FC 100G (30D) COLLAR BACON,2,286.99320815021974,FARMERS CHOICE LTD,6,9
OREO 31.3G ENROBED,4,204.78137988362428,HASBAH KENYA LTD CADBURY,6,9
OREO 26.25G ORIGINAL,2,70.84137931034483,HASBAH KENYA LTD CADBURY,6,9
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,5,102.45092838196288,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
TUZO 450ML ESL WHOLE MILK 90DAYS,18,661.5354361540135,BROOKSIDE DAIRY LIMITED,7,10
NATURES 800G WHITE BREAD,5,520.0081411126188,DPL FESTIVE  LIMITED,7,10
BIO 2L SEMI SKIMMED FRESH MILK,5,1222.447195154069,BIO FOOD PRODUCTS LTD,7,10
BROOKSIDE 1L FARM FRESH MILK,4,416.0,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 400G FINEST SUPER SEEDED BREAD,5,520.0010752688172,DPL FESTIVE  LIMITED,7,10
FRESHA 5L WHOLE MILK,5,1997.8990228013029,GITHUNGURI DAIRY FARMERS,7,10
SUPA 400G BUTTER TOAST BREAD,6,312.0107956142817,MINI BAKERIES NBI  LTD,7,10
